Id_App,Country,Name,Critic Name,Estrategic,Critic Info,Score,ClassifType,AppType,Deploy,Status,ServiceDomain,Quadrant,ProductDomain,Specialist,Architect App,Owner,Description,RTO,DRP,Deploy,Starting Year
134,Chile,Sistema de Google Pay,Medio,NO,Medio,39.65,Microservicio,Cloud,Hybrid Cloud,Deprecado,Credit Management,Eliminate,Comercio Exterior,Data Specialist,Enterprise Architect,Mónica Medina,Plataforma para gestión de comercio exterior,> 24 horas <= 3 Semanas,NO,Hybrid Cloud,2014
135,Turquía,Portal de Samsung Pay,Muy Crítico,NO,Alto,28.14,Backend,Contenedor,GCP,Deprecado,Risk Management,Modernize,Inversiones,DevOps Specialist,Enterprise Architect,Carmen Gómez,Sistema de procesamiento de inversiones,>= 0 Minutos <= 4 Horas,SI,GCP,2018
136,España,Plataforma de Pagos Contactless,Muy Crítico,NO,Alto,38.36,Base de Datos,Servicio,IBM Cloud,Deprecado,Mobile Banking,Eliminate,Banca Privada,Integration Specialist,Cloud Architect,Roberto Marín,Servicio de integración de banca privada,> 12 horas <= 24 horas,SI,IBM Cloud,2021
137,Paraguay,Sistema de NFC,Crítico,SI,Alto,82.51,Microservicio,Híbrido,Kyndryl,Mantenimiento,eBranch Operations,Tolerate,Analítica,Integration Specialist,Enterprise Architect,Mónica Medina,Gestor de workflows de analítica,> 3 Semanas,NO,Kyndryl,2019
138,Turquía,Portal de QR Payments,Muy Crítico,NO,Medio,55.89,Middleware,Cloud,GCP,Deprecado,Fraud Detection,Transform,Marketing,Backend Specialist,Data Architect,Pilar Santos,Plataforma cloud-native de marketing,> 4 Horas <= 12 horas,SI,GCP,2011
139,Chile,Plataforma de Instant Payments,Medio,SI,Bajo,93.0,Aplicación,Cloud,On-Premise,Mantenimiento,Core Banking,Migrate,Marketing,Backend Specialist,Security Architect,Luis Garrido,Plataforma de análisis de marketing,> 3 Semanas,SI,On-Premise,2017
140,México,Sistema de Pagos en Tiempo Real,Bajo,SI,Medio,43.84,Middleware,Contenedor,Azure,En Desarrollo,Mobile Banking,Transform,Banca Privada,Data Specialist,Cloud Architect,Cristina Romero,Backend de procesamiento de banca privada,> 12 horas <= 24 horas,SI,Azure,2012
141,Paraguay,Portal de SWIFT,Bajo,SI,Alto,92.0,Middleware,Híbrido,GCP,Deprecado,Fraud Detection,Tolerate,Cuentas,Security Specialist,Solution Architect,Lucía Vázquez,Sistema de procesamiento de cuentas,> 24 horas <= 3 Semanas,SI,GCP,2015
142,Argentina,Plataforma de TARGET2,Crítico,SI,Medio,41.33,Frontend,Híbrido,Kyndryl,Deprecado,Credit Management,Modernize,Ventas,Frontend Specialist,Enterprise Architect,Verónica Guerrero,Sistema de reporting de ventas,>= 0 Minutos <= 4 Horas,SI,Kyndryl,2019
143,Colombia,Sistema de Clearing,Bajo,NO,Alto,31.69,Frontend,Cloud,Hybrid Cloud,Activo,Payment Processing,Modernize,Marketing,Cloud Specialist,Cloud Architect,Sara Gutiérrez,Plataforma de análisis de marketing,> 4 Horas <= 12 horas,NO,Hybrid Cloud,2023
144,Turquía,Portal de Liquidación,Crítico,SI,Bajo,27.28,Backend,Legado,Kyndryl,Mantenimiento,Treasury Operations,Tolerate,Ventas,Cloud Specialist,Solution Architect,Fernando Serrano,Gestor de workflows de ventas,> 12 horas <= 24 horas,NO,Kyndryl,2020
145,Colombia,Plataforma de Custodia de Valores,Crítico,SI,Alto,66.4,Middleware,Contenedor,AWS,Mantenimiento,eBranch Operations,Eliminate,Seguros,nan,Solution Architect,Silvia Blanco,Aplicación móvil de seguros,> 3 Semanas,SI,AWS,2021
146,Estados Unidos,Sistema de Gestión de Títulos,Medio,NO,Bajo,53.58,API,Legado,IBM Cloud,Activo,eBranch Operations,Modernize,Ventas,Frontend Specialist,Data Architect,José Rodríguez,Plataforma para gestión de ventas,> 3 Semanas,SI,IBM Cloud,2021
147,Estados Unidos,Portal de Iberclear,Bajo,SI,Bajo,24.18,Base de Datos,Serverless,GCP,Activo,Customer Offer,Tolerate,Ventas,Backend Specialist,Data Architect,Silvia Blanco,Gestor de workflows de ventas,>= 0 Minutos <= 4 Horas,NO,GCP,2016
148,Argentina,Plataforma de Gestión de Derivados OTC,Medio,SI,Medio,22.14,Middleware,Serverless,On-Premise,Activo,Customer Service,Eliminate,Pagos,DevOps Specialist,Enterprise Architect,Verónica Guerrero,Sistema de notificaciones de pagos,> 12 horas <= 24 horas,SI,On-Premise,2021
149,Estados Unidos,Sistema de EMIR,Muy Crítico,NO,Medio,81.68,Base de Datos,Legado,On-Premise,Mantenimiento,Core Banking,Migrate,Cuentas,Data Specialist,Enterprise Architect,Jorge Ortiz,Plataforma para gestión de cuentas,> 4 Horas <= 12 horas,NO,On-Premise,2011
150,Uruguay,Portal de MiFID II,Muy Crítico,NO,Bajo,68.13,Backend,Híbrido,IBM Cloud,En Desarrollo,Operational Gateway,Invest,Seguros,Backend Specialist,Cloud Architect,Patricia Hernández,Sistema de notificaciones de seguros,> 24 horas <= 3 Semanas,SI,IBM Cloud,2020
151,México,Plataforma de Gestión de Préstamos Sindicados,Muy Crítico,SI,Alto,23.23,Middleware,Contenedor,AWS,Activo,eBranch Operations,Tolerate,Comercio Exterior,Data Specialist,nan,Jorge Ortiz,Gestor de workflows de comercio exterior,>= 0 Minutos <= 4 Horas,NO,AWS,2021
152,Paraguay,Sistema de Project Finance,Bajo,NO,Medio,27.23,Aplicación,Híbrido,Hybrid Cloud,En Desarrollo,Customer Offer,Migrate,Tarjetas,Backend Specialist,nan,Roberto Marín,Motor de cálculo para tarjetas,>= 0 Minutos <= 4 Horas,SI,Hybrid Cloud,2011
153,Perú,Portal de Structured Finance,Muy Crítico,SI,Alto,47.43,Módulo Externo,Servicio,Kyndryl,Activo,Fraud Detection,Eliminate,Hipotecas,Data Specialist,Cloud Architect,Ana López,Microservicio de hipotecas,>= 0 Minutos <= 4 Horas,SI,Kyndryl,2018
154,Colombia,Plataforma de M&A,Bajo,SI,Alto,52.08,Microservicio,Legado,Kyndryl,Activo,Customer Service,Tolerate,Pagos,Frontend Specialist,nan,Roberto Marín,Portal de autoservicio de pagos,> 24 horas <= 3 Semanas,SI,Kyndryl,2024
155,México,Sistema de Corporate Finance,Muy Crítico,NO,Medio,63.77,Módulo Externo,Servicio,IBM Cloud,Mantenimiento,Customer Service,Transform,Tarjetas,Backend Specialist,Data Architect,Mónica Medina,Aplicación móvil de tarjetas,> 12 horas <= 24 horas,SI,IBM Cloud,2021
156,Colombia,Portal de Asesoramiento Corporativo,Muy Crítico,SI,Medio,62.02,Middleware,Cloud,Hybrid Cloud,Activo,Customer Offer,Transform,Inversiones,Frontend Specialist,Security Architect,Raquel Castro,Sistema de reporting de inversiones,> 12 horas <= 24 horas,SI,Hybrid Cloud,2011
157,Venezuela,Plataforma de ECM,Medio,SI,Bajo,40.47,API,Serverless,GCP,Deprecado,Customer Offer,Invest,Tarjetas,Frontend Specialist,Enterprise Architect,Isabel Jiménez,Sistema de reporting de tarjetas,> 4 Horas <= 12 horas,NO,GCP,2011
158,Paraguay,Sistema de DCM,Muy Crítico,SI,Medio,78.13,Frontend,Híbrido,Hybrid Cloud,Activo,eBranch Operations,Migrate,Analítica,Integration Specialist,nan,Óscar Cortés,Frontend web de analítica,> 3 Semanas,NO,Hybrid Cloud,2022
159,Turquía,Portal de Mercados de Capitales,Bajo,NO,Medio,21.56,Aplicación,Cloud,Kyndryl,Mantenimiento,Core Banking,Invest,Canal Digital,DevOps Specialist,nan,Pilar Santos,Sistema de notificaciones de canal digital,> 4 Horas <= 12 horas,SI,Kyndryl,2017
160,España,Plataforma de Research,Medio,SI,Alto,71.69,Microservicio,Serverless,Kyndryl,Mantenimiento,Payment Processing,Eliminate,Canal Digital,Cloud Specialist,Solution Architect,Alicia Mendoza,Aplicación móvil de canal digital,> 24 horas <= 3 Semanas,SI,Kyndryl,2013
161,Uruguay,Sistema de Análisis Económico,Crítico,SI,Alto,41.36,Módulo Externo,Contenedor,AWS,Activo,Core Banking,Eliminate,Créditos,Data Specialist,Integration Architect,Carlos Martínez,API REST para créditos,> 4 Horas <= 12 horas,NO,AWS,2024
162,Paraguay,Portal de Informes de Mercado,Crítico,NO,Medio,71.51,Middleware,Híbrido,IBM Cloud,Mantenimiento,eBranch Operations,Tolerate,Pagos,Backend Specialist,Integration Architect,Antonio Pérez,Sistema de reporting de pagos,> 24 horas <= 3 Semanas,SI,IBM Cloud,2010
163,Uruguay,Plataforma de Trading Algorítmico,Crítico,NO,Medio,88.09,Frontend,Legado,IBM Cloud,Activo,eBranch Operations,Transform,Cuentas,Security Specialist,Data Architect,Alberto Molina,Backend de procesamiento de cuentas,> 24 horas <= 3 Semanas,NO,IBM Cloud,2024
164,Venezuela,Sistema de Market Making,Medio,SI,Alto,22.92,Microservicio,Legado,On-Premise,Mantenimiento,Mobile Banking,Eliminate,Pagos,DevOps Specialist,Data Architect,Pilar Santos,Portal de autoservicio de pagos,> 24 horas <= 3 Semanas,NO,On-Premise,2015
165,España,Portal de Ejecución de Órdenes,Muy Crítico,SI,Alto,52.12,Middleware,Híbrido,Kyndryl,Activo,Core Banking,Modernize,Pagos,Frontend Specialist,Solution Architect,Laura Sánchez,Motor de cálculo para pagos,> 3 Semanas,NO,Kyndryl,2015
166,Perú,Plataforma de Prime Brokerage,Crítico,SI,Alto,40.47,Frontend,Legado,On-Premise,Deprecado,Risk Management,Eliminate,Adquisiciones,Backend Specialist,Cloud Architect,Elena Torres,Base de datos de adquisiciones,> 24 horas <= 3 Semanas,NO,On-Premise,2010
167,Colombia,Sistema de Securities Lending,Medio,NO,Bajo,35.16,Módulo Externo,Servicio,Kyndryl,En Desarrollo,Data Analytics,Migrate,Créditos,Cloud Specialist,Security Architect,Rafael Navarro,Motor de cálculo para créditos,> 24 horas <= 3 Semanas,NO,Kyndryl,2015
168,Turquía,Portal de Repo,Muy Crítico,SI,Medio,53.67,Módulo Externo,Serverless,Kyndryl,Mantenimiento,Risk Management,Tolerate,Pagos,Backend Specialist,Security Architect,Patricia Hernández,Backend de procesamiento de pagos,> 4 Horas <= 12 horas,SI,Kyndryl,2022
169,Perú,Plataforma de FX Trading,Bajo,NO,Bajo,33.52,API,Contenedor,Kyndryl,Activo,Credit Management,Invest,Analítica,Frontend Specialist,Solution Architect,Manuel Martín,Gestor de workflows de analítica,> 12 horas <= 24 horas,SI,Kyndryl,2021
170,Argentina,Sistema de Divisas Spot,Crítico,SI,Alto,31.01,Aplicación,Cloud,IBM Cloud,Activo,Core Banking,Migrate,Transferencias,Security Specialist,Enterprise Architect,Mónica Medina,Plataforma de análisis de transferencias,>= 0 Minutos <= 4 Horas,NO,IBM Cloud,2020
171,Chile,Portal de Forwards,Crítico,NO,Medio,57.08,Backend,Legado,IBM Cloud,Mantenimiento,Payment Processing,Invest,Comercio Exterior,Frontend Specialist,Data Architect,Sara Gutiérrez,Plataforma cloud-native de comercio exterior,> 12 horas <= 24 horas,SI,IBM Cloud,2020
172,Argentina,Plataforma de Commodities,Crítico,SI,Bajo,49.12,Módulo Externo,Servicio,AWS,Deprecado,Payment Processing,Modernize,Hipotecas,Data Specialist,Cloud Architect,Fernando Serrano,Servicio de autenticación de hipotecas,> 3 Semanas,SI,AWS,2014
173,Paraguay,Sistema de Trading de Energía,Muy Crítico,SI,Bajo,69.08,Backend,Serverless,On-Premise,Mantenimiento,Wealth Management,Modernize,Banca Privada,Frontend Specialist,Integration Architect,Patricia Hernández,Motor de cálculo para banca privada,>= 0 Minutos <= 4 Horas,NO,On-Premise,2018
174,España,Portal de Metales Preciosos,Muy Crítico,NO,Medio,14.27,Microservicio,Serverless,On-Premise,Mantenimiento,Treasury Operations,Invest,Pagos,Security Specialist,Solution Architect,Beatriz Gil,Sistema de reporting de pagos,> 24 horas <= 3 Semanas,SI,On-Premise,2022
175,Estados Unidos,Plataforma de ESG,Medio,NO,Alto,71.13,Middleware,Servicio,AWS,En Desarrollo,Customer Service,Eliminate,Marketing,nan,Data Architect,Verónica Guerrero,Base de datos de marketing,>= 0 Minutos <= 4 Horas,SI,AWS,2020
176,Turquía,Sistema de Inversión Sostenible,Crítico,SI,Medio,12.94,Middleware,Contenedor,On-Premise,En Desarrollo,Credit Management,Invest,Tarjetas,Security Specialist,Integration Architect,Silvia Blanco,Gestor de workflows de tarjetas,> 3 Semanas,NO,On-Premise,2015
177,España,Portal de Bonos Verdes,Muy Crítico,SI,Alto,74.63,Módulo Externo,Legado,IBM Cloud,En Desarrollo,Customer Service,Eliminate,Seguros,Cloud Specialist,Enterprise Architect,Laura Sánchez,Microservicio de seguros,>= 0 Minutos <= 4 Horas,SI,IBM Cloud,2013
178,Argentina,Plataforma de Impacto Social,Bajo,SI,Medio,36.57,Módulo Externo,Híbrido,AWS,Activo,Operational Gateway,Invest,Tarjetas,Integration Specialist,Integration Architect,Ana López,Portal de autoservicio de tarjetas,> 4 Horas <= 12 horas,NO,AWS,2014
179,Colombia,Sistema de Microfinanzas,Bajo,SI,Medio,56.99,API,Contenedor,Hybrid Cloud,En Desarrollo,Customer Offer,Tolerate,Banca Privada,Backend Specialist,Integration Architect,Beatriz Gil,Motor de cálculo para banca privada,>= 0 Minutos <= 4 Horas,NO,Hybrid Cloud,2022
180,Colombia,Portal de Inclusión Financiera,Muy Crítico,SI,Medio,60.13,Backend,Híbrido,IBM Cloud,En Desarrollo,Treasury Operations,Modernize,Analítica,Security Specialist,Solution Architect,Alicia Mendoza,Aplicación web para analítica,>= 0 Minutos <= 4 Horas,SI,IBM Cloud,2017
181,Colombia,Plataforma de Innovación,Crítico,SI,Alto,80.77,Módulo Externo,Híbrido,AWS,Mantenimiento,Customer Offer,Tolerate,Gestión de Riesgos,Cloud Specialist,nan,Sara Gutiérrez,Microservicio de gestión de riesgos,> 4 Horas <= 12 horas,NO,AWS,2022
182,España,Sistema de Sandbox Regulatorio,Muy Crítico,NO,Alto,37.27,Módulo Externo,Contenedor,On-Premise,Activo,Payment Processing,Tolerate,Operaciones,nan,Solution Architect,Javier Díaz,Sistema legacy de operaciones,> 24 horas <= 3 Semanas,SI,On-Premise,2021
183,Chile,Portal de Fintech Partnerships,Medio,NO,Alto,64.99,Microservicio,Contenedor,On-Premise,En Desarrollo,Data Analytics,Tolerate,Gestión de Riesgos,Cloud Specialist,Data Architect,Óscar Cortés,Portal de autoservicio de gestión de riesgos,> 24 horas <= 3 Semanas,SI,On-Premise,2018
184,Venezuela,Plataforma de AI/ML,Crítico,NO,Alto,47.82,Frontend,Híbrido,On-Premise,En Desarrollo,Corporate Banking,Eliminate,Comercio Exterior,Security Specialist,Cloud Architect,Javier Díaz,Sistema de notificaciones de comercio exterior,>= 0 Minutos <= 4 Horas,NO,On-Premise,2024
185,Venezuela,Sistema de Deep Learning,Muy Crítico,NO,Medio,67.58,Base de Datos,Híbrido,Azure,Activo,Operational Gateway,Modernize,Analítica,Security Specialist,nan,Natalia Rubio,Frontend web de analítica,>= 0 Minutos <= 4 Horas,SI,Azure,2015
186,España,Portal de Computer Vision,Bajo,SI,Medio,77.78,Microservicio,Contenedor,GCP,Deprecado,Customer Service,Tolerate,Comercio Exterior,DevOps Specialist,Security Architect,Alicia Mendoza,Sistema de procesamiento de comercio exterior,> 3 Semanas,NO,GCP,2023
187,Chile,Plataforma de NLP,Muy Crítico,SI,Bajo,50.27,Frontend,Servicio,Hybrid Cloud,Mantenimiento,Data Analytics,Modernize,Analítica,Cloud Specialist,Security Architect,Teresa Sanz,Plataforma para gestión de analítica,> 24 horas <= 3 Semanas,SI,Hybrid Cloud,2016
188,Chile,Sistema de Procesamiento de Lenguaje,Crítico,SI,Bajo,74.44,Módulo Externo,Contenedor,GCP,Deprecado,eBranch Operations,Transform,Inversiones,Cloud Specialist,nan,María García,Gestor de workflows de inversiones,> 12 horas <= 24 horas,SI,GCP,2012
189,México,Portal de Chatbots Avanzados,Crítico,SI,Bajo,19.22,Microservicio,Legado,Hybrid Cloud,Deprecado,Payment Processing,Migrate,Pagos,Security Specialist,nan,Alberto Molina,API REST para pagos,> 24 horas <= 3 Semanas,SI,Hybrid Cloud,2016
190,Paraguay,Plataforma de RPA,Muy Crítico,NO,Alto,81.54,API,Contenedor,AWS,Mantenimiento,Security & Compliance,Modernize,Operaciones,DevOps Specialist,Data Architect,Rafael Navarro,Gestor de workflows de operaciones,> 12 horas <= 24 horas,NO,AWS,2019
191,Colombia,Sistema de Automatización de Procesos,Muy Crítico,SI,Bajo,83.9,Middleware,Serverless,Kyndryl,Deprecado,Customer Service,Migrate,Cuentas,nan,Solution Architect,Enrique Iglesias,Sistema legacy de cuentas,>= 0 Minutos <= 4 Horas,SI,Kyndryl,2011
192,Venezuela,Portal de Workflows,Medio,SI,Bajo,25.49,Frontend,Servicio,AWS,Activo,Security & Compliance,Modernize,Marketing,DevOps Specialist,Security Architect,Francisco Fernández,Aplicación móvil de marketing,>= 0 Minutos <= 4 Horas,SI,AWS,2020
193,México,Plataforma de Cloud Migration,Medio,NO,Medio,11.9,Aplicación,Serverless,IBM Cloud,En Desarrollo,Customer Offer,Tolerate,Inversiones,nan,Solution Architect,Sara Gutiérrez,Plataforma de integración de inversiones,> 12 horas <= 24 horas,SI,IBM Cloud,2021
194,Paraguay,Sistema de Hybrid Cloud,Bajo,SI,Bajo,23.72,Base de Datos,Contenedor,Azure,Deprecado,Credit Management,Eliminate,Inversiones,Data Specialist,Solution Architect,Verónica Guerrero,Aplicación web para inversiones,> 3 Semanas,SI,Azure,2019
195,Perú,Portal de Multi-Cloud,Medio,SI,Bajo,66.8,Frontend,Híbrido,IBM Cloud,En Desarrollo,Payment Processing,Invest,Operaciones,Data Specialist,Cloud Architect,María García,Plataforma cloud-native de operaciones,>= 0 Minutos <= 4 Horas,SI,IBM Cloud,2018
196,Turquía,Plataforma de DevOps,Muy Crítico,SI,Medio,19.67,Base de Datos,Servicio,On-Premise,Activo,Mobile Banking,Transform,Comercio Exterior,Backend Specialist,Solution Architect,Marta Moreno,API REST para comercio exterior,> 4 Horas <= 12 horas,SI,On-Premise,2024
197,Uruguay,Sistema de CI/CD,Bajo,NO,Medio,54.92,Aplicación,Servicio,Kyndryl,Activo,Credit Management,Modernize,Analítica,nan,nan,José Rodríguez,Servicio de autenticación de analítica,> 4 Horas <= 12 horas,SI,Kyndryl,2017
198,Turquía,Portal de GitOps,Crítico,SI,Bajo,55.36,Microservicio,Legado,Azure,En Desarrollo,Operational Gateway,Transform,Analítica,Backend Specialist,Enterprise Architect,Teresa Sanz,Frontend web de analítica,>= 0 Minutos <= 4 Horas,SI,Azure,2012
199,Chile,Plataforma de Observabilidad,Crítico,SI,Alto,52.13,Backend,Híbrido,Azure,Deprecado,Corporate Banking,Eliminate,Comercio Exterior,Integration Specialist,nan,Carlos Martínez,Plataforma cloud-native de comercio exterior,> 3 Semanas,SI,Azure,2024
200,Perú,Sistema de Monitorización,Muy Crítico,SI,Alto,26.22,Microservicio,Contenedor,Kyndryl,Mantenimiento,Customer Service,Invest,Analítica,Frontend Specialist,Enterprise Architect,Sergio Lozano,Gestor de workflows de analítica,>= 0 Minutos <= 4 Horas,SI,Kyndryl,2016